iter	Poisson
0	0.4988981929
1	0.0390673908
2	-0.3627137488
3	-0.7339227675
4	-1.030303549
5	-1.295702161
6	-1.544778739
7	-1.758034939
8	-1.963386538
9	-2.122685599
10	-2.251673813
11	-2.360403867
12	-2.472616573
13	-2.561916008
14	-2.644200566
15	-2.714132506
16	-2.769922994
17	-2.813743929
18	-2.874914663
19	-2.911111237
20	-2.958813792
21	-3.006872725
22	-3.056545056
23	-3.071368727
24	-3.127070463
25	-3.161228622
26	-3.210322662
27	-3.228582214
28	-3.251261206
29	-3.301944162
30	-3.315619657
31	-3.339699931
32	-3.375907436
33	-3.398166936
34	-3.439590659
35	-3.475740793
36	-3.494119831
37	-3.524223905
38	-3.542655685
39	-3.564481092
40	-3.579006402
41	-3.597447237
42	-3.623957306
43	-3.643718693
44	-3.657355329
45	-3.669529968
46	-3.683851921
47	-3.693332585
48	-3.710266223
49	-3.726297646
50	-3.737473938
51	-3.75042856
52	-3.764749174
53	-3.772668465
54	-3.774744061
55	-3.782445068
56	-3.792683653
57	-3.795867685
58	-3.796588003
59	-3.801927307
60	-3.813880668
61	-3.82785159
62	-3.83423831
63	-3.846017639
64	-3.853899882
65	-3.861691007
66	-3.86766934
67	-3.88188462
68	-3.891481951
69	-3.899742322
70	-3.906931084
71	-3.918651636
72	-3.924924835
73	-3.931120264
74	-3.937654573
75	-3.947933942
76	-3.953936748
77	-3.965491641
78	-3.97090357
79	-3.978254576
80	-3.986134636
81	-3.991905589
82	-3.994408023
83	-3.995568693
84	-4.001559097
85	-4.009053374
86	-4.017550333
87	-4.024621866
88	-4.029336114
89	-4.032084135
90	-4.039719489
91	-4.05001706
92	-4.054367875
93	-4.063536931
94	-4.067633676
95	-4.071453298
96	-4.074637017
97	-4.08230385
98	-4.085002867
99	-4.089309158
100	-4.093216407
101	-4.099029889
102	-4.101860325
103	-4.108544504
104	-4.10995124
105	-4.115327801
106	-4.118333254
107	-4.120239975
108	-4.123647493
109	-4.128865391
110	-4.136134092
111	-4.139010084
112	-4.144186312
113	-4.148035775
114	-4.155087599
115	-4.163067831
116	-4.16629028
117	-4.170487184
118	-4.175865396
119	-4.181226842
120	-4.189792763
121	-4.191509071
122	-4.200718769
123	-4.208521538
124	-4.21094998
125	-4.21598919
126	-4.220794275
127	-4.225671239
128	-4.228754478
129	-4.233250341
130	-4.23475169
131	-4.239675102
132	-4.24632338
133	-4.248979776
134	-4.25197495
135	-4.257818575
136	-4.262325867
137	-4.26809235
138	-4.271257078
139	-4.276402179
140	-4.281369604
141	-4.285612033
142	-4.288557981
143	-4.290271479
144	-4.293654047
145	-4.298199754
146	-4.304345959
147	-4.312312829
148	-4.315177372
149	-4.318738914
150	-4.323393926
151	-4.325772574
152	-4.331800432
153	-4.335371749
154	-4.339065911
155	-4.342996668
156	-4.347782049
157	-4.35169446
158	-4.354826538
159	-4.356753007
160	-4.35967694
161	-4.362979547
162	-4.36714454
163	-4.370062623
164	-4.3733639
165	-4.374932981
166	-4.379163681
167	-4.379955224
168	-4.383725347
169	-4.386336114
170	-4.387520473
171	-4.389141608
172	-4.394452478
173	-4.398239106
174	-4.401833323
175	-4.407091676
176	-4.412037483
177	-4.414715625
178	-4.418301978
179	-4.421459492
180	-4.423218269
181	-4.424379763
182	-4.427429574
183	-4.429423221
184	-4.432240201
185	-4.435026799
186	-4.436987783
187	-4.438156627
188	-4.441340981
189	-4.442522186
190	-4.446012734
191	-4.449531967
192	-4.452042315
193	-4.455087784
194	-4.457249202
195	-4.460186311
196	-4.464893361
197	-4.466802179
198	-4.469012657
199	-4.471047767
200	-4.474786251
201	-4.476069388
202	-4.477701857
203	-4.481124215
204	-4.483231757
205	-4.485819991
206	-4.489449854
207	-4.49318968
208	-4.495333517
209	-4.497924443
210	-4.498796794
211	-4.501521225
212	-4.503503301
213	-4.504816724
214	-4.506356414
215	-4.507016282
216	-4.508688966
217	-4.509527207
218	-4.510902248
219	-4.513229414
220	-4.515611447
221	-4.51779456
222	-4.519747053
223	-4.522083242
224	-4.522951858
225	-4.526379379
226	-4.528207583
227	-4.529467936
228	-4.531173838
229	-4.531450818
230	-4.533581951
231	-4.534388789
232	-4.535826205
233	-4.537991701
234	-4.539282254
235	-4.54158866
236	-4.544191938
237	-4.546607267
238	-4.549054828
239	-4.551726139
240	-4.553116757
241	-4.555212024
242	-4.556820795
243	-4.557363121
244	-4.559453502
245	-4.561283982
246	-4.563101945
247	-4.564886146
248	-4.566229429
249	-4.568110129
250	-4.570533148
251	-4.572073883
252	-4.57359829
253	-4.574602678
254	-4.57525972
255	-4.576485416
256	-4.577833499
257	-4.579053001
258	-4.5799843
259	-4.582188784
260	-4.583436558
261	-4.584675944
262	-4.586706281
263	-4.587467558
264	-4.589083252
265	-4.591276946
266	-4.592218142
267	-4.593807349
268	-4.595153722
269	-4.596792365
270	-4.599347499
271	-4.600504605
272	-4.601777941
273	-4.602656825
274	-4.603908778
275	-4.604290598
276	-4.605773176
277	-4.606677616
278	-4.607998748
279	-4.608169022
280	-4.609378778
281	-4.611914053
282	-4.612986622
283	-4.613852761
284	-4.615324511
285	-4.61700569
286	-4.618239344
287	-4.619733272
288	-4.620334659
289	-4.621739489
290	-4.622481102
291	-4.62520788
292	-4.625892336
293	-4.62752198
294	-4.627615136
295	-4.629412962
296	-4.631757156
297	-4.633581837
298	-4.634453748
299	-4.635910654
300	-4.636980898
301	-4.638574817
302	-4.639703382
303	-4.640524969
304	-4.641900251
305	-4.644548123
306	-4.645285976
307	-4.6466908
308	-4.64810919
309	-4.648974695
310	-4.650798013
311	-4.651255441
312	-4.652184301
313	-4.652574048
314	-4.653519133
315	-4.65419361
316	-4.654800332
317	-4.655532953
318	-4.656849184
319	-4.657063542
320	-4.658566731
321	-4.659387439
322	-4.661473384
323	-4.662149506
324	-4.663201759
325	-4.663464585
326	-4.663880782
327	-4.665317822
328	-4.666201495
329	-4.667039334
330	-4.667801513
331	-4.668501084
332	-4.670086221
333	-4.670532488
334	-4.671533981
335	-4.672913199
336	-4.67397562
337	-4.676005709
338	-4.677520056
339	-4.67782598
340	-4.678348607
341	-4.679111156
342	-4.679885124
343	-4.68128118
344	-4.682046348
345	-4.68260349
346	-4.683630082
347	-4.684230019
348	-4.685177756
349	-4.685776597
350	-4.686804327
351	-4.687679458
352	-4.688859191
353	-4.689844106
354	-4.689940616
355	-4.690518863
356	-4.691843499
357	-4.692668158
358	-4.693557078
359	-4.694455895
360	-4.695332588
361	-4.696433533
362	-4.696846949
363	-4.697278432
364	-4.69757292
365	-4.698143459
366	-4.699046226
367	-4.69965786
368	-4.700031924
369	-4.700619802
370	-4.701618296
371	-4.703285288
372	-4.703760836
373	-4.704387419
374	-4.705256108
375	-4.705805066
376	-4.706470702
377	-4.707390514
378	-4.707811646
379	-4.708426569
380	-4.70936864
381	-4.710179823
382	-4.710438379
383	-4.710978294
384	-4.711503837
385	-4.711994831
386	-4.712628354
387	-4.713096027
388	-4.714376501
389	-4.715239282
390	-4.715594194
391	-4.716077096
392	-4.716271217
393	-4.717672304
394	-4.718177915
395	-4.718589145
396	-4.719116382
397	-4.719587401
398	-4.72069314
399	-4.721223869
400	-4.721591143
401	-4.722011376
402	-4.722572891
403	-4.72316777
404	-4.723952512
405	-4.724806071
406	-4.725484423
407	-4.725860896
408	-4.726542856
409	-4.727263378
410	-4.727859977
411	-4.728792894
412	-4.729359505
413	-4.730221895
414	-4.730694249
415	-4.731296844
416	-4.732499912
417	-4.733193731
418	-4.733454263
419	-4.734011441
420	-4.734780825
421	-4.735200847
422	-4.735791236
423	-4.736309258
424	-4.736926696
425	-4.73766582
426	-4.738634632
427	-4.739065708
428	-4.740016727
429	-4.740712246
430	-4.741041326
431	-4.741552671
432	-4.742142318
433	-4.742678099
434	-4.743081416
435	-4.743788962
436	-4.744027272
437	-4.744381023
438	-4.745006643
439	-4.745503067
440	-4.746283345
441	-4.746736579
442	-4.747162383
443	-4.747723032
444	-4.748295997
445	-4.748531822
446	-4.748764809
447	-4.749092156
448	-4.749671723
449	-4.750078931
450	-4.750772525
451	-4.750982128
452	-4.751640436
453	-4.751877282
454	-4.752300556
455	-4.752450991
456	-4.752788506
457	-4.752903903
458	-4.753227477
459	-4.753510456
460	-4.754142628
461	-4.754726546
462	-4.755165426
463	-4.755943886
464	-4.756317396
465	-4.756752746
466	-4.757104254
467	-4.757480416
468	-4.757809341
469	-4.758220308
470	-4.758738322
471	-4.759041076
472	-4.759419914
473	-4.759571863
474	-4.759895692
475	-4.760306994
476	-4.760677938
477	-4.761261294
478	-4.761519922
479	-4.762146086
480	-4.762494052
481	-4.76270982
482	-4.762816723
483	-4.763134741
484	-4.763415028
485	-4.763986195
486	-4.764199889
487	-4.764669469
488	-4.764875595
489	-4.765135238
490	-4.765626728
491	-4.765920425
492	-4.766063386
493	-4.766757701
494	-4.766920966
495	-4.767257939
496	-4.767608791
497	-4.76788046
498	-4.768092511
499	-4.768705091
500	-4.768974383
501	-4.769299806
502	-4.769469468
503	-4.76978878
504	-4.7701115
505	-4.770542254
506	-4.770753395
507	-4.770952867
508	-4.771286124
509	-4.77162256
510	-4.771712268
511	-4.771951474
512	-4.772337813
513	-4.772649908
514	-4.772880984
515	-4.773015041
516	-4.773458688
517	-4.773636593
518	-4.774144939
519	-4.774826687
520	-4.775373837
521	-4.775599289
522	-4.77588412
523	-4.776499986
524	-4.776853364
525	-4.777111814
526	-4.777574128
527	-4.777879231
528	-4.778187011
529	-4.778281206
530	-4.778429644
531	-4.778664163
532	-4.779093155
533	-4.77941241
534	-4.779671971
535	-4.780116341
536	-4.780426185
537	-4.7808016
538	-4.78111258
539	-4.781493238
540	-4.781740775
541	-4.78205728
542	-4.782378725
543	-4.782808996
544	-4.783271285
545	-4.78351865
546	-4.783745619
547	-4.784172522
548	-4.784349153
549	-4.784629602
550	-4.785035733
551	-4.785252077
552	-4.785780526
553	-4.786121918
554	-4.786428998
555	-4.786639272
556	-4.786838093
557	-4.787061543
558	-4.787459554
559	-4.787813557
560	-4.787987607
561	-4.788199202
562	-4.788439376
563	-4.788717413
564	-4.78909497
565	-4.789650476
566	-4.789785479
567	-4.790108839
568	-4.790278549
569	-4.790423785
570	-4.790625785
571	-4.790970401
572	-4.791140367
573	-4.79143443
574	-4.791740196
575	-4.792055174
576	-4.792239769
577	-4.792345946
578	-4.792523843
579	-4.792596466
580	-4.792750537
581	-4.792913136
582	-4.793315249
583	-4.793549111
584	-4.793775748
585	-4.794048053
586	-4.794251113
587	-4.79449357
588	-4.794756987
589	-4.794931622
590	-4.795184014
591	-4.795405033
592	-4.79564905
593	-4.795890628
594	-4.796114482
595	-4.796498568
596	-4.796679688
597	-4.796922494
598	-4.797111136
599	-4.797365197
600	-4.797479597
601	-4.797804613
602	-4.798003081
603	-4.798333391
604	-4.798454234
605	-4.798664925
606	-4.798809019
607	-4.799011567
608	-4.799275505
609	-4.799395019
610	-4.799595525
611	-4.799712812
612	-4.799844909
613	-4.800033111
614	-4.800170947
615	-4.800429031
616	-4.800601431
617	-4.800804719
618	-4.801050967
619	-4.801297377
620	-4.801474745
621	-4.801670346
622	-4.801987098
623	-4.802207456
624	-4.802436055
625	-4.802654787
626	-4.802855464
627	-4.803041449
628	-4.803161173
629	-4.803348793
630	-4.80346201
631	-4.803494395
632	-4.803652364
633	-4.803958966
634	-4.804076597
635	-4.804144374
636	-4.804268351
637	-4.804311222
638	-4.80448391
639	-4.804663709
640	-4.804866367
641	-4.805026687
642	-4.805183433
643	-4.805253857
644	-4.805427491
645	-4.805506983
646	-4.805701226
647	-4.805878808
648	-4.806080735
649	-4.806086242
650	-4.806404956
651	-4.806516077
652	-4.80672594
653	-4.806877074
654	-4.807022052
655	-4.807372806
656	-4.807513027
657	-4.807726041
658	-4.807876369
659	-4.807879679
660	-4.808023497
661	-4.808126039
662	-4.80823658
663	-4.808314607
664	-4.808431198
665	-4.808495759
666	-4.80857494
667	-4.808686093
668	-4.808817176
669	-4.80894076
670	-4.809084573
671	-4.809374908
672	-4.809455601
673	-4.80966258
674	-4.809833627
675	-4.81002098
676	-4.810182134
677	-4.810221346
678	-4.81044751
679	-4.810533897
680	-4.810684762
681	-4.810831751
682	-4.810916746
683	-4.81103544
684	-4.811271981
685	-4.811405374
686	-4.811527053
687	-4.811746097
688	-4.811864523
689	-4.811954019
690	-4.812080917
691	-4.812173147
692	-4.812254705
693	-4.812315501
694	-4.812452428
695	-4.812527546
696	-4.812675443
697	-4.812808769
698	-4.812905665
699	-4.813081306
700	-4.813220277
701	-4.813342499
702	-4.813529756
703	-4.813653678
704	-4.813826504
705	-4.81399476
706	-4.814092614
707	-4.814166801
708	-4.814236614
709	-4.814351722
710	-4.814450965
711	-4.814565791
712	-4.814678089
713	-4.814754491
714	-4.814998633
715	-4.815130547
716	-4.81536395
717	-4.815500577
718	-4.815602057
719	-4.81574205
720	-4.815765632
721	-4.815853527
722	-4.815959788
723	-4.816096645
724	-4.816226452
725	-4.816410311
726	-4.816513004
727	-4.816631443
728	-4.816706284
729	-4.816809543
730	-4.816960101
731	-4.817011143
732	-4.817139886
733	-4.817199631
734	-4.817283318
735	-4.817372644
736	-4.817461571
737	-4.817513391
738	-4.817683263
739	-4.817774921
740	-4.817835289
741	-4.817937649
742	-4.818045554
743	-4.818135482
744	-4.818198897
745	-4.818405455
746	-4.818562435
747	-4.818668471
748	-4.818797404
749	-4.818914754
750	-4.819017593
751	-4.819072029
752	-4.819163136
753	-4.819375742
754	-4.819465871
755	-4.819547449
756	-4.819704936
757	-4.819831313
758	-4.819901667
759	-4.819978266
760	-4.820098971
761	-4.820252554
762	-4.820447195
763	-4.820558426
764	-4.820603203
765	-4.820751264
766	-4.820839156
767	-4.820901763
768	-4.821083776
769	-4.821158734
770	-4.821230203
771	-4.821322612
772	-4.821364484
773	-4.821461165
774	-4.821578267
775	-4.821650535
776	-4.821775989
777	-4.821913715
778	-4.821994221
779	-4.822133832
780	-4.822203936
781	-4.822270125
782	-4.822393137
783	-4.822478919
784	-4.822643247
785	-4.822724165
786	-4.822896211
787	-4.822998165
788	-4.823056056
789	-4.823209322
790	-4.823310686
791	-4.823387443
792	-4.823443014
793	-4.823573037
794	-4.82366669
795	-4.82374082
796	-4.823812912
797	-4.823899849
798	-4.823955592
799	-4.82405734
800	-4.824142705
801	-4.824259507
802	-4.824313812
803	-4.824411929
804	-4.824477459
805	-4.82456601
806	-4.82466791
807	-4.824741474
808	-4.824829898
809	-4.824988828
810	-4.825093716
811	-4.825151651
812	-4.82522738
813	-4.825303929
814	-4.825347785
815	-4.825387063
816	-4.825460274
817	-4.825521167
818	-4.825570378
819	-4.825675262
820	-4.825743978
821	-4.825835753
822	-4.825877916
823	-4.8260424
824	-4.826072084
825	-4.826146846
826	-4.826214991
827	-4.82627982
828	-4.826332036
829	-4.826357423
830	-4.826436388
831	-4.826489971
832	-4.826566303
