iter	Passed	Remaining
0	12	120484
1	25	125162
2	38	127445
3	47	117856
4	57	114086
5	68	113935
6	78	112107
7	87	109268
8	98	109641
9	108	108824
10	120	109244
11	129	108061
12	141	108746
13	151	108187
14	163	109051
15	172	107921
16	181	106837
17	193	107127
18	205	107690
19	215	107383
20	223	106396
21	232	105651
22	245	106310
23	248	103372
24	259	103418
25	267	102740
26	279	103112
27	290	103373
28	299	102981
29	308	102520
30	318	102579
31	329	102565
32	339	102465
33	349	102521
34	358	102094
35	368	101865
36	378	101980
37	389	102143
38	400	102384
39	411	102512
40	416	101233
41	427	101423
42	436	101080
43	447	101189
44	456	100956
45	468	101392
46	477	101127
47	487	101090
48	496	100781
49	504	100493
50	515	100655
51	525	100569
52	534	100388
53	546	100726
54	549	99377
55	560	99600
56	570	99482
57	576	98790
58	577	97313
59	588	97477
60	599	97637
61	609	97676
62	619	97769
63	628	97549
64	637	97416
65	647	97522
66	656	97381
67	666	97313
68	675	97235
69	685	97263
70	695	97213
71	704	97198
72	716	97376
73	727	97566
74	735	97388
75	744	97219
76	753	97097
77	764	97261
78	775	97358
79	784	97229
80	792	97069
81	802	97058
82	813	97197
83	815	96268
84	825	96328
85	834	96230
86	845	96317
87	854	96201
88	865	96396
89	876	96488
90	885	96429
91	894	96381
92	906	96532
93	917	96697
94	928	96811
95	939	96922
96	948	96785
97	958	96873
98	968	96832
99	977	96786
100	992	97292
101	1004	97433
102	1012	97333
103	1022	97313
104	1031	97191
105	1039	97058
106	1048	96959
107	1057	96834
108	1067	96880
109	1077	96899
110	1086	96788
111	1096	96766
112	1106	96780
113	1116	96789
114	1124	96675
115	1136	96829
116	1146	96884
117	1156	96831
118	1166	96870
119	1176	96896
120	1185	96789
121	1194	96689
122	1204	96733
123	1215	96831
124	1224	96741
125	1233	96669
126	1242	96592
127	1252	96577
128	1261	96555
129	1270	96464
130	1279	96362
131	1288	96317
132	1298	96339
133	1307	96238
134	1316	96217
135	1327	96256
136	1338	96340
137	1350	96479
138	1360	96523
139	1370	96527
140	1380	96558
141	1391	96608
142	1400	96509
143	1410	96536
144	1421	96583
145	1430	96545
146	1440	96530
147	1449	96521
148	1460	96528
149	1470	96572
150	1480	96561
151	1491	96626
152	1499	96538
153	1509	96519
154	1520	96556
155	1529	96512
156	1538	96468
157	1547	96377
158	1558	96447
159	1569	96506
160	1577	96424
161	1587	96387
162	1597	96430
163	1607	96437
164	1617	96437
165	1628	96466
166	1637	96410
167	1649	96508
168	1657	96428
169	1667	96446
170	1676	96391
171	1686	96343
172	1694	96270
173	1703	96220
174	1714	96280
175	1725	96316
176	1735	96290
177	1743	96212
178	1755	96329
179	1764	96259
180	1773	96185
181	1781	96105
182	1791	96109
183	1800	96043
184	1809	96020
185	1819	96003
186	1828	95933
187	1838	95939
188	1846	95871
189	1857	95915
190	1868	95954
191	1876	95881
192	1887	95929
193	1896	95885
194	1908	95985
195	1920	96070
196	1929	96019
197	1938	95987
198	1947	95912
199	1958	95986
200	1968	95971
201	1986	96333
202	1995	96294
203	2005	96288
204	2016	96332
205	2026	96366
206	2036	96328
207	2047	96412
208	2057	96380
209	2067	96378
210	2078	96434
211	2088	96433
212	2098	96438
213	2108	96417
214	2119	96445
215	2128	96391
216	2137	96342
217	2147	96354
218	2155	96288
219	2166	96302
220	2175	96277
221	2186	96297
222	2194	96231
223	2203	96161
224	2214	96210
225	2226	96296
226	2236	96280
227	2245	96221
228	2254	96174
229	2263	96129
230	2271	96080
231	2281	96077
232	2291	96059
233	2301	96045
234	2312	96080
235	2320	96022
236	2329	95960
237	2341	96028
238	2351	96048
239	2362	96090
240	2373	96097
241	2382	96049
242	2390	96001
243	2400	95999
244	2411	96031
245	2420	95989
246	2429	95928
247	2439	95946
248	2449	95923
249	2458	95897
250	2467	95840
251	2476	95799
252	2485	95771
253	2494	95723
254	2505	95730
255	2516	95791
256	2525	95739
257	2535	95736
258	2544	95684
259	2552	95627
260	2562	95632
261	2571	95578
262	2582	95594
263	2591	95573
264	2600	95534
265	2612	95598
266	2624	95671
267	2633	95638
268	2643	95643
269	2654	95670
270	2663	95618
271	2671	95562
272	2680	95508
273	2691	95548
274	2703	95599
275	2712	95567
276	2724	95636
277	2734	95625
278	2743	95590
279	2752	95535
280	2760	95486
281	2769	95435
282	2779	95431
283	2788	95396
284	2797	95360
285	2809	95416
286	2819	95413
287	2828	95396
288	2838	95389
289	2848	95387
290	2859	95403
291	2870	95421
292	2878	95375
293	2887	95335
294	2897	95330
295	2906	95296
296	2918	95342
297	2927	95302
298	2937	95302
299	2946	95272
300	2955	95242
301	2966	95274
302	2976	95267
303	2995	95547
304	3005	95545
305	3015	95542
306	3026	95541
307	3037	95585
308	3047	95576
309	3057	95558
310	3066	95535
311	3076	95529
312	3087	95562
313	3097	95537
314	3105	95487
315	3115	95488
316	3124	95434
317	3133	95417
318	3143	95392
319	3154	95420
320	3163	95380
321	3172	95352
322	3181	95304
323	3189	95255
324	3198	95230
325	3208	95218
326	3218	95210
327	3227	95174
328	3237	95168
329	3246	95145
330	3255	95099
331	3267	95137
332	3276	95120
333	3286	95104
334	3295	95063
335	3303	95015
336	3315	95055
337	3325	95074
338	3335	95046
339	3344	95036
340	3354	95016
341	3365	95032
342	3377	95086
343	3386	95045
344	3396	95056
345	3408	95095
346	3418	95106
347	3427	95061
348	3437	95071
349	3446	95027
350	3456	95030
351	3465	94995
352	3476	95017
353	3485	94982
354	3496	94983
355	3504	94937
356	3516	94974
357	3524	94936
358	3535	94933
359	3544	94909
360	3554	94919
361	3564	94913
362	3573	94869
363	3584	94880
364	3593	94865
365	3605	94915
366	3614	94878
367	3623	94833
368	3633	94824
369	3642	94802
370	3654	94837
371	3662	94796
372	3671	94772
373	3680	94735
374	3692	94778
375	3701	94743
376	3711	94748
377	3724	94809
378	3733	94778
379	3743	94759
380	3752	94747
381	3761	94703
382	3772	94729
383	3781	94690
384	3789	94647
385	3799	94624
386	3809	94624
387	3818	94589
388	3827	94553
389	3836	94547
390	3845	94507
391	3854	94469
392	3866	94514
393	3876	94503
394	3886	94497
395	3897	94524
396	3907	94519
397	3918	94526
398	3926	94486
399	3935	94444
400	3945	94446
401	3954	94406
402	3962	94366
403	3971	94326
404	3989	94525
405	3999	94504
406	4010	94537
407	4019	94505
408	4030	94507
409	4038	94470
410	4050	94491
411	4062	94542
412	4072	94532
413	4082	94528
414	4093	94537
415	4105	94575
416	4114	94563
417	4125	94579
418	4137	94612
419	4148	94620
420	4156	94582
421	4168	94603
422	4176	94569
423	4185	94534
424	4196	94543
425	4207	94556
426	4216	94521
427	4226	94527
428	4237	94529
429	4247	94537
430	4256	94497
431	4264	94457
432	4275	94464
433	4286	94483
434	4295	94448
435	4304	94426
436	4313	94388
437	4322	94358
438	4330	94321
439	4340	94317
440	4349	94280
441	4358	94257
442	4370	94275
443	4381	94305
444	4393	94328
445	4404	94348
446	4414	94343
447	4423	94313
448	4432	94279
449	4440	94246
450	4449	94211
451	4459	94212
452	4468	94176
453	4478	94172
454	4488	94164
455	4500	94194
456	4509	94167
457	4520	94180
458	4530	94173
459	4540	94157
460	4551	94170
461	4559	94133
462	4569	94116
463	4579	94123
464	4592	94162
465	4601	94143
466	4610	94111
467	4620	94111
468	4629	94084
469	4639	94080
470	4651	94096
471	4659	94064
472	4669	94045
473	4678	94015
474	4687	93999
475	4697	93988
476	4707	93976
477	4717	93983
478	4729	94003
479	4738	93974
480	4748	93966
481	4756	93931
482	4767	93932
483	4777	93927
484	4789	93953
485	4798	93940
486	4807	93917
487	4816	93885
488	4827	93902
489	4839	93918
490	4850	93940
491	4860	93935
492	4869	93902
493	4880	93923
494	4892	93937
495	4903	93956
496	4913	93956
497	4922	93929
498	4933	93926
499	4942	93912
500	4952	93900
501	4962	93890
502	4986	94146
503	5001	94229
504	5011	94223
505	5020	94205
506	5031	94215
507	5040	94189
508	5052	94202
509	5062	94200
510	5073	94207
511	5081	94174
512	5093	94190
513	5101	94156
514	5110	94128
515	5122	94146
516	5134	94178
517	5143	94149
518	5153	94144
519	5163	94133
520	5172	94108
521	5181	94082
522	5190	94057
523	5200	94041
524	5209	94015
525	5220	94030
526	5229	93995
527	5239	93997
528	5250	94003
529	5262	94035
530	5273	94045
531	5283	94027
532	5292	94009
533	5303	94011
534	5314	94013
535	5324	94015
536	5333	93987
537	5342	93953
538	5351	93927
539	5361	93933
540	5370	93902
541	5381	93906
542	5391	93890
543	5402	93901
544	5411	93878
545	5421	93871
546	5430	93847
547	5439	93814
548	5447	93783
549	5456	93756
550	5466	93737
551	5474	93709
552	5484	93684
553	5493	93665
554	5502	93643
555	5514	93667
556	5526	93691
557	5540	93754
558	5551	93759
559	5561	93758
560	5571	93738
561	5579	93706
562	5588	93676
563	5598	93659
564	5609	93680
565	5619	93667
566	5631	93689
567	5641	93675
568	5652	93686
569	5661	93657
570	5672	93666
571	5681	93639
572	5692	93647
573	5701	93622
574	5711	93614
575	5722	93622
576	5731	93595
577	5739	93563
578	5748	93536
579	5757	93503
580	5768	93522
581	5780	93541
582	5791	93547
583	5802	93557
584	5811	93531
585	5821	93524
586	5830	93496
587	5840	93481
588	5849	93457
589	5858	93444
590	5869	93438
591	5878	93423
592	5888	93404
593	5899	93423
594	5909	93417
595	5919	93397
596	5929	93387
597	5937	93356
598	5946	93321
599	5956	93324
600	5965	93298
601	5976	93300
602	6000	93511
603	6011	93512
604	6022	93525
605	6032	93508
606	6041	93486
607	6049	93456
608	6060	93461
609	6069	93437
610	6078	93409
611	6088	93396
612	6097	93364
613	6105	93334
614	6114	93310
615	6126	93333
616	6136	93313
617	6144	93285
618	6156	93299
619	6166	93298
620	6178	93319
621	6188	93308
622	6197	93280
623	6207	93276
624	6219	93288
625	6231	93309
626	6242	93318
627	6251	93295
628	6260	93269
629	6272	93296
630	6281	93266
631	6290	93248
632	6300	93233
633	6309	93214
634	6318	93184
635	6328	93175
636	6338	93174
637	6347	93146
638	6359	93160
639	6367	93130
