,arrival_hydrophone,init_arrival_time,id,depth,aic_t,first_hydrophone,second_hydrophone,arrival_time
0,h3,18037.318173703705,0,348.5,"[18037.31817321759, 18037.3181718287, 18037.31817347222, 18037.318173993055, 18037.31817320602, 18037.318172233794]",5,4,18037.318172233794
1,h3,18037.318188958332,1,275.0,"[18037.318188935187, 18037.318188599536, 18037.318188935187, 18037.31818940972, 18037.31818753472, 18037.31818753472]",4,5,18037.31818753472
2,h3,18037.318203171297,2,275.0,"[18037.31820296296, 18037.318202974537, 18037.31820296296, 18037.318203483796, 18037.318201423608, 18037.318201423608]",4,5,18037.318201423608
3,h3,18037.318219224537,3,275.0,"[18037.3182190625, 18037.31821888889, 18037.318219039353, 18037.318219502315, 18037.318217280095, 18037.318217280095]",4,5,18037.318217280095
4,h3,18037.318222280093,4,275.0,"[18037.31822136574, 18037.318221331017, 18037.31822130787, 18037.31822122685, 18037.318220520832, 18037.318220520832]",4,5,18037.318220520832
5,h3,18037.318230497687,5,275.0,"[18037.31823087963, 18037.318230891204, 18037.31823045139, 18037.318230902776, 18037.318229212964, 18037.318229212964]",4,5,18037.318229212964
6,h3,18037.318243819445,6,310.0,"[18037.318243506943, 18037.318243796297, 18037.31824326389, 18037.31824372685, 18037.318242951387, 18037.318242488425]",5,4,18037.318242488425
7,h3,18037.318257037037,7,275.0,"[18037.318255335646, 18037.318255960647, 18037.31825702546, 18037.318257488423, 18037.31825560185, 18037.31825560185]",4,5,18037.31825560185
8,h3,18037.318262905093,8,196.25,"[18037.31826287037, 18037.31826287037, 18037.31826287037, 18037.31826332176, 18037.318261157405, 18037.318262199075]",4,5,18037.318261157405
9,h3,18037.318280625,9,275.0,"[18037.318279236115, 18037.318279513893, 18037.31828061343, 18037.318280266205, 18037.318278877316, 18037.318278877316]",4,5,18037.318278877316
10,h3,18037.318367395834,10,275.0,"[18037.318367118056, 18037.3183662963, 18037.31836737269, 18037.318367824075, 18037.31836584491, 18037.31836584491]",4,5,18037.31836584491
11,h3,18037.3183734375,11,275.0,"[18037.31837232639, 18037.318372546295, 18037.318373402777, 18037.318373854167, 18037.318372939815, 18037.318372939815]",4,5,18037.318372939815
