,id,depth,aic_t,first_hydrophone,second_hydrophone,arrival_time,first_arrival,second_arrival,dt
0,0,418.5,"[18037.31817321759, 18037.3181718287, 18037.31817347222, 18037.318173993055, 18037.31817320602, 18037.318172233794]",5,4,18037.318172233794,2019-05-21 07:38:10.081000+00:00,2019-05-21 07:38:10.165000+00:00,-0.084
1,1,345.0,"[18037.318188935187, 18037.318188599536, 18037.318188935187, 18037.31818940972, 18037.31818753472, 18037.31818753472]",4,5,18037.31818753472,2019-05-21 07:38:11.403000+00:00,2019-05-21 07:38:11.403000+00:00,0.0
2,2,345.0,"[18037.31820296296, 18037.318202974537, 18037.31820296296, 18037.318203483796, 18037.318201423608, 18037.318201423608]",4,5,18037.318201423608,2019-05-21 07:38:12.603000+00:00,2019-05-21 07:38:12.603000+00:00,0.0
3,3,345.0,"[18037.3182190625, 18037.31821888889, 18037.318219039353, 18037.318219502315, 18037.318217280095, 18037.318217280095]",4,5,18037.318217280095,2019-05-21 07:38:13.973000+00:00,2019-05-21 07:38:13.973000+00:00,0.0
4,4,345.0,"[18037.31822136574, 18037.318221331017, 18037.31822130787, 18037.31822122685, 18037.318220520832, 18037.318220520832]",4,5,18037.318220520832,2019-05-21 07:38:14.253000+00:00,2019-05-21 07:38:14.253000+00:00,0.0
5,5,345.0,"[18037.31823087963, 18037.318230891204, 18037.31823045139, 18037.318230902776, 18037.318229212964, 18037.318229212964]",4,5,18037.318229212964,2019-05-21 07:38:15.004000+00:00,2019-05-21 07:38:15.004000+00:00,0.0
6,6,380.0,"[18037.318243506943, 18037.318243796297, 18037.31824326389, 18037.31824372685, 18037.318242951387, 18037.318242488425]",5,4,18037.318242488425,2019-05-21 07:38:16.151000+00:00,2019-05-21 07:38:16.191000+00:00,-0.04
7,7,345.0,"[18037.318255335646, 18037.318255960647, 18037.31825702546, 18037.318257488423, 18037.31825560185, 18037.31825560185]",4,5,18037.31825560185,2019-05-21 07:38:17.284000+00:00,2019-05-21 07:38:17.284000+00:00,0.0
8,8,266.25,"[18037.31826287037, 18037.31826287037, 18037.31826287037, 18037.31826332176, 18037.318261157405, 18037.318262199075]",4,5,18037.318261157405,2019-05-21 07:38:17.764000+00:00,2019-05-21 07:38:17.854000+00:00,-0.09
9,9,345.0,"[18037.318279236115, 18037.318279513893, 18037.31828061343, 18037.318280266205, 18037.318278877316, 18037.318278877316]",4,5,18037.318278877316,2019-05-21 07:38:19.295000+00:00,2019-05-21 07:38:19.295000+00:00,0.0
10,10,345.0,"[18037.318367118056, 18037.3183662963, 18037.31836737269, 18037.318367824075, 18037.31836584491, 18037.31836584491]",4,5,18037.31836584491,2019-05-21 07:38:26.809000+00:00,2019-05-21 07:38:26.809000+00:00,0.0
11,11,345.0,"[18037.31837232639, 18037.318372546295, 18037.318373402777, 18037.318373854167, 18037.318372939815, 18037.318372939815]",4,5,18037.318372939815,2019-05-21 07:38:27.422000+00:00,2019-05-21 07:38:27.422000+00:00,0.0
12,12,275.0,"[18037.31838113426, 18037.318380752316, 18037.318381956018, 18037.318380856483, 18037.318380856483, 18037.318380856483]",3,4,18037.318380856483,2019-05-21 07:38:28.106000+00:00,2019-05-21 07:38:28.106000+00:00,0.0
13,13,275.0,"[18037.318536608796, 18037.31853650463, 18037.318536608796, 18037.318536435185, 18037.318536435185, 18037.318536435185]",3,4,18037.318536435185,2019-05-21 07:38:41.548000+00:00,2019-05-21 07:38:41.548000+00:00,0.0
14,14,345.0,"[18037.318551689816, 18037.31855233796, 18037.318552222223, 18037.31855278935, 18037.318550590277, 18037.318550590277]",4,5,18037.318550590277,2019-05-21 07:38:42.771000+00:00,2019-05-21 07:38:42.771000+00:00,0.0
15,15,345.0,"[18037.318559641204, 18037.318559641204, 18037.318559641204, 18037.31856009259, 18037.318558344905, 18037.318558344905]",4,5,18037.318558344905,2019-05-21 07:38:43.441000+00:00,2019-05-21 07:38:43.441000+00:00,0.0
16,16,201.5,"[18037.318563622684, 18037.318562210647, 18037.31856212963, 18037.318562511573, 18037.318562152777, 18037.318562511573]",2,4,18037.31856212963,2019-05-21 07:38:43.768000+00:00,2019-05-21 07:38:43.770000+00:00,-0.002
17,17,345.0,"[18037.318570150463, 18037.318569108797, 18037.31857082176, 18037.318571296295, 18037.31856980324, 18037.31856980324]",4,5,18037.31856980324,2019-05-21 07:38:44.431000+00:00,2019-05-21 07:38:44.431000+00:00,0.0
18,18,275.0,"[18037.318642881943, 18037.318641712962, 18037.31864353009, 18037.31864157407, 18037.31864157407, 18037.31864157407]",3,4,18037.31864157407,2019-05-21 07:38:50.632000+00:00,2019-05-21 07:38:50.632000+00:00,0.0
19,19,318.75,"[18037.318650405094, 18037.318651365742, 18037.318651342594, 18037.318651805555, 18037.318649212964, 18037.318649560188]",4,5,18037.318649212964,2019-05-21 07:38:51.292000+00:00,2019-05-21 07:38:51.322000+00:00,-0.03
20,20,170.0,"[18037.31868023148, 18037.31868023148, 18037.31868023148, 18037.318680694443, 18037.318681145833, 18037.31868193287]",2,3,18037.31868023148,2019-05-21 07:38:53.972000+00:00,2019-05-21 07:38:54.012000+00:00,-0.04
21,21,233.875,"[18037.31869578704, 18037.31869578704, 18037.31869578704, 18037.318696238428, 18037.31869672454, 18037.318695659724]",5,2,18037.318695659724,2019-05-21 07:38:55.305000+00:00,2019-05-21 07:38:55.316000+00:00,-0.011
22,22,375.625,"[18037.318699733798, 18037.31869974537, 18037.318700671298, 18037.31870113426, 18037.318699467593, 18037.3186990625]",5,4,18037.3186990625,2019-05-21 07:38:55.599000+00:00,2019-05-21 07:38:55.634000+00:00,-0.035
23,23,345.0,"[18037.318706458333, 18037.318706192127, 18037.318706458333, 18037.318706921295, 18037.318705486112, 18037.318705486112]",4,5,18037.318705486112,2019-05-21 07:38:56.154000+00:00,2019-05-21 07:38:56.154000+00:00,0.0
24,24,345.0,"[18037.318711273147, 18037.318709432868, 18037.318711273147, 18037.318711041666, 18037.31870976852, 18037.31870976852]",4,5,18037.31870976852,2019-05-21 07:38:56.524000+00:00,2019-05-21 07:38:56.524000+00:00,0.0
25,25,184.0,"[18037.318716759262, 18037.31871777778, 18037.31871703704, 18037.318717500002, 18037.318717175927, 18037.318717175927]",2,4,18037.31871703704,2019-05-21 07:38:57.152000+00:00,2019-05-21 07:38:57.164000+00:00,-0.012
26,26,170.875,"[18037.31872230324, 18037.31872228009, 18037.31872230324, 18037.31872275463, 18037.31872321759, 18037.318724004628]",2,3,18037.31872230324,2019-05-21 07:38:57.607000+00:00,2019-05-21 07:38:57.646000+00:00,-0.039
